CO_MUN_GEO;NO_MUN_MIN;SG_UF;NO_UF;NO_REGIAO;CO_UF;NO_PAIS;NO_MUN_UF_PAIS;NO_UF_PAIS;NO_REGIAO_ING;NO_REG_PAI_ING
2103158;Centro do Guilherme;MA;Maranhão;NORDESTE;21;BRASIL;Centro do Guilherme, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103174;Centro Novo do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Centro Novo do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103208;Chapadinha;MA;Maranhão;NORDESTE;21;BRASIL;Chapadinha, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103257;Cidelândia;MA;Maranhão;NORDESTE;21;BRASIL;Cidelândia, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103307;Codó;MA;Maranhão;NORDESTE;21;BRASIL;Codó, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103406;Coelho Neto;MA;Maranhão;NORDESTE;21;BRASIL;Coelho Neto, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103505;Colinas;MA;Maranhão;NORDESTE;21;BRASIL;Colinas, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103554;Conceição do Lago-Açu;MA;Maranhão;NORDESTE;21;BRASIL;Conceição do Lago-Açu, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103604;Coroatá;MA;Maranhão;NORDESTE;21;BRASIL;Coroatá, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103703;Cururupu;MA;Maranhão;NORDESTE;21;BRASIL;Cururupu, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103752;Davinópolis;MA;Maranhão;NORDESTE;21;BRASIL;Davinópolis, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103802;Dom Pedro;MA;Maranhão;NORDESTE;21;BRASIL;Dom Pedro, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103901;Duque Bacelar;MA;Maranhão;NORDESTE;21;BRASIL;Duque Bacelar, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104008;Esperantinópolis;MA;Maranhão;NORDESTE;21;BRASIL;Esperantinópolis, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104057;Estreito;MA;Maranhão;NORDESTE;21;BRASIL;Estreito, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104073;Feira Nova do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Feira Nova do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104081;Fernando Falcão;MA;Maranhão;NORDESTE;21;BRASIL;Fernando Falcão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104099;Formosa da Serra Negra;MA;Maranhão;NORDESTE;21;BRASIL;Formosa da Serra Negra, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104107;Fortaleza dos Nogueiras;MA;Maranhão;NORDESTE;21;BRASIL;Fortaleza dos Nogueiras, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104206;Fortuna;MA;Maranhão;NORDESTE;21;BRASIL;Fortuna, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104305;Godofredo Viana;MA;Maranhão;NORDESTE;21;BRASIL;Godofredo Viana, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104404;Gonçalves Dias;MA;Maranhão;NORDESTE;21;BRASIL;Gonçalves Dias, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104503;Governador Archer;MA;Maranhão;NORDESTE;21;BRASIL;Governador Archer, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104552;Governador Edison Lobão;MA;Maranhão;NORDESTE;21;BRASIL;Governador Edison Lobão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104602;Governador Eugênio Barros;MA;Maranhão;NORDESTE;21;BRASIL;Governador Eugênio Barros, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104628;Governador Luiz Rocha;MA;Maranhão;NORDESTE;21;BRASIL;Governador Luiz Rocha, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104651;Governador Newton Bello;MA;Maranhão;NORDESTE;21;BRASIL;Governador Newton Bello, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104677;Governador Nunes Freire;MA;Maranhão;NORDESTE;21;BRASIL;Governador Nunes Freire, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104701;Graça Aranha;MA;Maranhão;NORDESTE;21;BRASIL;Graça Aranha, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104800;Grajaú;MA;Maranhão;NORDESTE;21;BRASIL;Grajaú, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104909;Guimarães;MA;Maranhão;NORDESTE;21;BRASIL;Guimarães, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105005;Humberto de Campos;MA;Maranhão;NORDESTE;21;BRASIL;Humberto de Campos, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105104;Icatu;MA;Maranhão;NORDESTE;21;BRASIL;Icatu, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105153;Igarapé do Meio;MA;Maranhão;NORDESTE;21;BRASIL;Igarapé do Meio, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105203;Igarapé Grande;MA;Maranhão;NORDESTE;21;BRASIL;Igarapé Grande, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105302;Imperatriz;MA;Maranhão;NORDESTE;21;BRASIL;Imperatriz, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105351;Itaipava do Grajaú;MA;Maranhão;NORDESTE;21;BRASIL;Itaipava do Grajaú, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105401;Itapecuru Mirim;MA;Maranhão;NORDESTE;21;BRASIL;Itapecuru Mirim, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105427;Itinga do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Itinga do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105450;Jatobá;MA;Maranhão;NORDESTE;21;BRASIL;Jatobá, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105476;Jenipapo dos Vieiras;MA;Maranhão;NORDESTE;21;BRASIL;Jenipapo dos Vieiras, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105500;João Lisboa;MA;Maranhão;NORDESTE;21;BRASIL;João Lisboa, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105609;Joselândia;MA;Maranhão;NORDESTE;21;BRASIL;Joselândia, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105658;Junco do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Junco do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105708;Lago da Pedra;MA;Maranhão;NORDESTE;21;BRASIL;Lago da Pedra, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105807;Lago do Junco;MA;Maranhão;NORDESTE;21;BRASIL;Lago do Junco, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105906;Lago Verde;MA;Maranhão;NORDESTE;21;BRASIL;Lago Verde, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105922;Lagoa do Mato;MA;Maranhão;NORDESTE;21;BRASIL;Lagoa do Mato, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105948;Lago dos Rodrigues;MA;Maranhão;NORDESTE;21;BRASIL;Lago dos Rodrigues, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105963;Lagoa Grande do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Lagoa Grande do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2105989;Lajeado Novo;MA;Maranhão;NORDESTE;21;BRASIL;Lajeado Novo, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106003;Lima Campos;MA;Maranhão;NORDESTE;21;BRASIL;Lima Campos, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106102;Loreto;MA;Maranhão;NORDESTE;21;BRASIL;Loreto, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106201;Luís Domingues;MA;Maranhão;NORDESTE;21;BRASIL;Luís Domingues, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106300;Magalhães de Almeida;MA;Maranhão;NORDESTE;21;BRASIL;Magalhães de Almeida, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106326;Maracaçumé;MA;Maranhão;NORDESTE;21;BRASIL;Maracaçumé, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106359;Marajá do Sena;MA;Maranhão;NORDESTE;21;BRASIL;Marajá do Sena, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106375;Maranhãozinho;MA;Maranhão;NORDESTE;21;BRASIL;Maranhãozinho, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106409;Mata Roma;MA;Maranhão;NORDESTE;21;BRASIL;Mata Roma, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106508;Matinha;MA;Maranhão;NORDESTE;21;BRASIL;Matinha, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106607;Matões;MA;Maranhão;NORDESTE;21;BRASIL;Matões, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106631;Matões do Norte;MA;Maranhão;NORDESTE;21;BRASIL;Matões do Norte, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106672;Milagres do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Milagres do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106706;Mirador;MA;Maranhão;NORDESTE;21;BRASIL;Mirador, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106755;Miranda do Norte;MA;Maranhão;NORDESTE;21;BRASIL;Miranda do Norte, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106805;Mirinzal;MA;Maranhão;NORDESTE;21;BRASIL;Mirinzal, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2106904;Monção;MA;Maranhão;NORDESTE;21;BRASIL;Monção, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107001;Montes Altos;MA;Maranhão;NORDESTE;21;BRASIL;Montes Altos, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107100;Morros;MA;Maranhão;NORDESTE;21;BRASIL;Morros, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107209;Nina Rodrigues;MA;Maranhão;NORDESTE;21;BRASIL;Nina Rodrigues, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107258;Nova Colinas;MA;Maranhão;NORDESTE;21;BRASIL;Nova Colinas, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107308;Nova Iorque;MA;Maranhão;NORDESTE;21;BRASIL;Nova Iorque, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107357;Nova Olinda do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Nova Olinda do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107407;Olho d'Água das Cunhãs;MA;Maranhão;NORDESTE;21;BRASIL;Olho d'Água das Cunhãs, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107456;Olinda Nova do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Olinda Nova do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107506;Paço do Lumiar;MA;Maranhão;NORDESTE;21;BRASIL;Paço do Lumiar, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107605;Palmeirândia;MA;Maranhão;NORDESTE;21;BRASIL;Palmeirândia, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107704;Paraibano;MA;Maranhão;NORDESTE;21;BRASIL;Paraibano, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107803;Parnarama;MA;Maranhão;NORDESTE;21;BRASIL;Parnarama, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2107902;Passagem Franca;MA;Maranhão;NORDESTE;21;BRASIL;Passagem Franca, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108009;Pastos Bons;MA;Maranhão;NORDESTE;21;BRASIL;Pastos Bons, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108058;Paulino Neves;MA;Maranhão;NORDESTE;21;BRASIL;Paulino Neves, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108108;Paulo Ramos;MA;Maranhão;NORDESTE;21;BRASIL;Paulo Ramos, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108207;Pedreiras;MA;Maranhão;NORDESTE;21;BRASIL;Pedreiras, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108256;Pedro do Rosário;MA;Maranhão;NORDESTE;21;BRASIL;Pedro do Rosário, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108306;Penalva;MA;Maranhão;NORDESTE;21;BRASIL;Penalva, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108405;Peri Mirim;MA;Maranhão;NORDESTE;21;BRASIL;Peri Mirim, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108454;Peritoró;MA;Maranhão;NORDESTE;21;BRASIL;Peritoró, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108504;Pindaré-Mirim;MA;Maranhão;NORDESTE;21;BRASIL;Pindaré-Mirim, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2108603;Pinheiro;MA;Maranhão;NORDESTE;21;BRASIL;Pinheiro, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2616407;Vitória de Santo Antão;PE;Pernambuco;NORDESTE;26;BRASIL;Vitória de Santo Antão, PE, BRASIL;Pernambuco, BRASIL; NORTHEAST;NORDESTE, BRASIL
2616506;Xexéu;PE;Pernambuco;NORDESTE;26;BRASIL;Xexéu, PE, BRASIL;Pernambuco, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700102;Água Branca;AL;Alagoas;NORDESTE;27;BRASIL;Água Branca, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700201;Anadia;AL;Alagoas;NORDESTE;27;BRASIL;Anadia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700300;Arapiraca;AL;Alagoas;NORDESTE;27;BRASIL;Arapiraca, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700409;Atalaia;AL;Alagoas;NORDESTE;27;BRASIL;Atalaia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700508;Barra de Santo Antônio;AL;Alagoas;NORDESTE;27;BRASIL;Barra de Santo Antônio, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700607;Barra de São Miguel;AL;Alagoas;NORDESTE;27;BRASIL;Barra de São Miguel, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700706;Batalha;AL;Alagoas;NORDESTE;27;BRASIL;Batalha, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700805;Belém;AL;Alagoas;NORDESTE;27;BRASIL;Belém, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2700904;Belo Monte;AL;Alagoas;NORDESTE;27;BRASIL;Belo Monte, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701001;Boca da Mata;AL;Alagoas;NORDESTE;27;BRASIL;Boca da Mata, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701100;Branquinha;AL;Alagoas;NORDESTE;27;BRASIL;Branquinha, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701209;Cacimbinhas;AL;Alagoas;NORDESTE;27;BRASIL;Cacimbinhas, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701308;Cajueiro;AL;Alagoas;NORDESTE;27;BRASIL;Cajueiro, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701357;Campestre;AL;Alagoas;NORDESTE;27;BRASIL;Campestre, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701407;Campo Alegre;AL;Alagoas;NORDESTE;27;BRASIL;Campo Alegre, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701506;Campo Grande;AL;Alagoas;NORDESTE;27;BRASIL;Campo Grande, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701605;Canapi;AL;Alagoas;NORDESTE;27;BRASIL;Canapi, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701704;Capela;AL;Alagoas;NORDESTE;27;BRASIL;Capela, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701803;Carneiros;AL;Alagoas;NORDESTE;27;BRASIL;Carneiros, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2701902;Chã Preta;AL;Alagoas;NORDESTE;27;BRASIL;Chã Preta, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702009;Coité do Nóia;AL;Alagoas;NORDESTE;27;BRASIL;Coité do Nóia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702108;Colônia Leopoldina;AL;Alagoas;NORDESTE;27;BRASIL;Colônia Leopoldina, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702207;Coqueiro Seco;AL;Alagoas;NORDESTE;27;BRASIL;Coqueiro Seco, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702306;Coruripe;AL;Alagoas;NORDESTE;27;BRASIL;Coruripe, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702355;Craíbas;AL;Alagoas;NORDESTE;27;BRASIL;Craíbas, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702405;Delmiro Gouveia;AL;Alagoas;NORDESTE;27;BRASIL;Delmiro Gouveia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702504;Dois Riachos;AL;Alagoas;NORDESTE;27;BRASIL;Dois Riachos, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702553;Estrela de Alagoas;AL;Alagoas;NORDESTE;27;BRASIL;Estrela de Alagoas, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702603;Feira Grande;AL;Alagoas;NORDESTE;27;BRASIL;Feira Grande, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702702;Feliz Deserto;AL;Alagoas;NORDESTE;27;BRASIL;Feliz Deserto, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702801;Flexeiras;AL;Alagoas;NORDESTE;27;BRASIL;Flexeiras, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2702900;Girau do Ponciano;AL;Alagoas;NORDESTE;27;BRASIL;Girau do Ponciano, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703007;Ibateguara;AL;Alagoas;NORDESTE;27;BRASIL;Ibateguara, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703106;Igaci;AL;Alagoas;NORDESTE;27;BRASIL;Igaci, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703205;Igreja Nova;AL;Alagoas;NORDESTE;27;BRASIL;Igreja Nova, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703304;Inhapi;AL;Alagoas;NORDESTE;27;BRASIL;Inhapi, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703403;Jacaré dos Homens;AL;Alagoas;NORDESTE;27;BRASIL;Jacaré dos Homens, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703502;Jacuípe;AL;Alagoas;NORDESTE;27;BRASIL;Jacuípe, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703601;Japaratinga;AL;Alagoas;NORDESTE;27;BRASIL;Japaratinga, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703700;Jaramataia;AL;Alagoas;NORDESTE;27;BRASIL;Jaramataia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703759;Jequiá da Praia;AL;Alagoas;NORDESTE;27;BRASIL;Jequiá da Praia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703809;Joaquim Gomes;AL;Alagoas;NORDESTE;27;BRASIL;Joaquim Gomes, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2703908;Jundiá;AL;Alagoas;NORDESTE;27;BRASIL;Jundiá, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704005;Junqueiro;AL;Alagoas;NORDESTE;27;BRASIL;Junqueiro, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704104;Lagoa da Canoa;AL;Alagoas;NORDESTE;27;BRASIL;Lagoa da Canoa, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704203;Limoeiro de Anadia;AL;Alagoas;NORDESTE;27;BRASIL;Limoeiro de Anadia, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704302;Maceió;AL;Alagoas;NORDESTE;27;BRASIL;Maceió, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704401;Major Isidoro;AL;Alagoas;NORDESTE;27;BRASIL;Major Isidoro, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704500;Maragogi;AL;Alagoas;NORDESTE;27;BRASIL;Maragogi, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704609;Maravilha;AL;Alagoas;NORDESTE;27;BRASIL;Maravilha, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704708;Marechal Deodoro;AL;Alagoas;NORDESTE;27;BRASIL;Marechal Deodoro, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704807;Maribondo;AL;Alagoas;NORDESTE;27;BRASIL;Maribondo, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2704906;Mar Vermelho;AL;Alagoas;NORDESTE;27;BRASIL;Mar Vermelho, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705002;Mata Grande;AL;Alagoas;NORDESTE;27;BRASIL;Mata Grande, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705101;Matriz de Camaragibe;AL;Alagoas;NORDESTE;27;BRASIL;Matriz de Camaragibe, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705200;Messias;AL;Alagoas;NORDESTE;27;BRASIL;Messias, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705309;Minador do Negrão;AL;Alagoas;NORDESTE;27;BRASIL;Minador do Negrão, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705408;Monteirópolis;AL;Alagoas;NORDESTE;27;BRASIL;Monteirópolis, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705507;Murici;AL;Alagoas;NORDESTE;27;BRASIL;Murici, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705606;Novo Lino;AL;Alagoas;NORDESTE;27;BRASIL;Novo Lino, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705705;Olho d'Água das Flores;AL;Alagoas;NORDESTE;27;BRASIL;Olho d'Água das Flores, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705804;Olho d'Água do Casado;AL;Alagoas;NORDESTE;27;BRASIL;Olho d'Água do Casado, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2705903;Olho d'Água Grande;AL;Alagoas;NORDESTE;27;BRASIL;Olho d'Água Grande, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2706000;Olivença;AL;Alagoas;NORDESTE;27;BRASIL;Olivença, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2706109;Ouro Branco;AL;Alagoas;NORDESTE;27;BRASIL;Ouro Branco, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2706208;Palestina;AL;Alagoas;NORDESTE;27;BRASIL;Palestina, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2706307;Palmeira dos Índios;AL;Alagoas;NORDESTE;27;BRASIL;Palmeira dos Índios, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
2706406;Pão de Açúcar;AL;Alagoas;NORDESTE;27;BRASIL;Pão de Açúcar, AL, BRASIL;Alagoas, BRASIL; NORTHEAST;NORDESTE, BRASIL
